cod_scuola,nome_scuola,indirizzo_scuola,sito_scuola,scuola_paritaria,id_provincia,id_regione,id_comune,comune_scuola,num_diplomati_x_coorte,indice_fga,fga_forchetta_bassa,fga_forchetta_alta,indice_perc_cfu,indice_media_voti,completamento_pct,tasso_immatricolazione_pct,tasso_non_immatricolazione_pct,abbandono_pct,voto_medio_immatricolati,voto_medio_non_immatricolati,comune_di_ricerca,raggio_km_ricerca,tipologia_ricerca
ARTD02000G,BUONARROTI - FOSSOMBRONI,PZZA DELLA BADIA 2,http://www.buonarroti-fossombroni.it/,0,51,9,51002,Arezzo,119,38.12,32.8,44.48,35.5,22.89,4.57,45.94,54.06,12.61,80.63,73.1,Arezzo,10,Tecnico - Economico
ARTD001028,GUIDO MARCELLI,PZZA NENCETTI 7,http://www.scuolafoiano.edu.it/,0,51,9,51018,Foiano della Chiana,13,,,,,,6.33,,,,,,Arezzo,10,Tecnico - Economico
ARTF02000T,GALILEO GALILEI,VIA DINO MENCI 1,http://www.itis.arezzo.it/,0,51,9,51002,Arezzo,268,67.55,64.12,71.43,67.85,26.07,6.02,63.35,36.65,11.68,83.47,71.84,Arezzo,10,Tecnico - Tecnologico
ARTL01301X,BUONARROTI - FOSSOMBRONI,VIA XXV APRILE 86,http://www.buonarroti-fossombroni.it/,0,51,9,51002,Arezzo,22,,,,,,5.32,,,,,,Arezzo,10,Tecnico - Tecnologico
ARRC00701V,MARGARITONE - VASARI,VIA BENEDETTO CROCE 64,http://www.tecnicoprofessionalearezzo.gov.it/,0,51,9,51002,Arezzo,36,,,,,,6.37,,,,,,Arezzo,10,Tecnico - Tecnologico
GRPC004014,PIETRO ALDI,PZZA BENCI,http://www.pololiceale.it/,0,53,9,53011,Grosseto,44,73.21,67.2,79.55,69.39,27.24,6.81,94.03,5.97,8.21,88.3,81.38,Grosseto,10,Classico
GRPC64500E,GIOVANNI CHELLI,VIA FERRUCCI 11,http://www.fondazionechelli.org/licei,1,53,9,53011,Grosseto,0,,,,,,0.0,,,,,,Grosseto,10,Classico
GRPS004017,PIETRO ALDI,PZZA BENCI,http://www.pololiceale.it/,0,53,9,53011,Grosseto,82,77.1,72.49,82.08,77.86,27.16,7.81,94.35,5.65,13.31,89.64,81.57,Grosseto,10,Scientifico
GRPS005002,GIOVANNI CHELLI,VIA FERRUCCI 11,http://www.fondazionechelli.org/licei,1,53,9,53011,Grosseto,12,47.62,35.46,62.78,39.36,24.71,5.94,73.68,26.32,21.05,89.32,81.3,Grosseto,10,Scientifico
GRPS013012,VITTORIO FOSSOMBRONI,VIA SICILIA 45,http://isisfossombroni.edu.it/,0,53,9,53011,Grosseto,37,68.62,61.93,75.92,71.8,25.85,7.45,89.19,10.81,14.41,90.35,78.45,Grosseto,10,Scientifico - Scienze applicate
GRPM01000E,ANTONIO ROSMINI,VLE PORCIATTI 2,http://www.rosminigr.it/,0,53,9,53011,Grosseto,106,60.16,55.48,65.29,61.41,25.07,7.96,70.31,29.69,11.25,88.56,83.44,Grosseto,10,Linguistico
GRPC009017,DEL ROSSO - DA VERRAZZANO,VIA POLA 1,http://www.daverrazzano.it/,0,53,9,53018,Orbetello,23,49.79,40.93,60.35,46.22,24.4,6.89,78.26,21.74,23.19,85.7,79.67,Grosseto,10,Linguistico
GRTD03000E,VITTORIO FOSSOMBRONI,VIA SICILIA 45,http://isisfossombroni.edu.it/,0,53,9,53011,Grosseto,125,43.12,37.94,49.24,39.37,23.62,6.17,46.67,53.33,12.0,85.92,76.82,Grosseto,10,Tecnico - Economico
GRTD009016,DEL ROSSO - DA VERRAZZANO,VIA POLA 1,http://www.daverrazzano.it/,0,53,9,53018,Orbetello,30,38.13,27.78,50.58,32.87,23.21,6.7,42.86,57.14,13.19,90.87,77.48,Grosseto,10,Tecnico - Economico
GRTA006018,LEOPOLDO II DI LORENA,VIA DE' BARBERI,http://www.scuoletoscane.it/servizi/portale1/index.asp,0,53,9,53011,Grosseto,95,64.45,59.01,70.85,62.07,26.02,6.73,54.36,45.64,12.2,87.71,74.97,Grosseto,10,Tecnico - Tecnologico
GRTL01101L,MANETTI - PORCIATTI,VIA BRIGATE PARTIGIANE 19,http://www.isitgrosseto.com/,0,53,9,53011,Grosseto,88,54.05,46.98,62.79,52.2,24.71,5.54,33.0,67.0,11.36,87.93,76.09,Grosseto,10,Tecnico - Tecnologico
GRTF012018,LUCIANO BIANCIARDI,PZZA DE MARIA 31,http://www.polobianciardigrosseto.it/,0,53,9,53011,Grosseto,23,,,,,,5.22,,,,,,Grosseto,10,Tecnico - Tecnologico
PIPC00701T,GALILEI - PACINOTTI,VIA BENEDETTO CROCE 32,http://iisgalileipacinotti.it/,0,50,9,50026,Pisa,67,72.75,67.71,78.33,68.29,27.27,7.36,92.61,7.39,16.26,84.74,77.87,Livorno,10,Classico
