cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
NOPS010004,7.699999999999999,92.5,"[5.1, 1.3, 1.3, 0.0]","[8.9, 16.5, 24.1, 43.0]",Docenti per fasce di età (%) (A.S. 2025/26),2.9,5.5,6.0,4.3,3.5,3.6
NOPS002016,28.0,72.0,"[10.0, 9.0, 7.0, 2.0]","[6.0, 10.0, 21.0, 35.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.5,6.0,4.2,3.5,3.6
NOPS07000Q,10.0,90.0,"[6.0, 4.0, 0.0, 0.0]","[18.0, 28.0, 18.0, 26.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.3,5.5,6.0,2.5,3.5,3.6
NOPS03500C,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOPSUI500C,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
VCPS021016,30.2,69.7,"[12.1, 9.8, 5.3, 3.0]","[9.1, 15.9, 15.9, 28.8]",Docenti per fasce di età (%) (A.S. 2025/26),2.2,5.5,6.0,4.4,3.5,3.6
PVPSTA500Q,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOPM010005,17.3,82.7,"[6.7, 4.0, 5.3, 1.3]","[10.7, 22.7, 20.0, 29.3]",Docenti per fasce di età (%) (A.S. 2025/26),11.1,5.5,6.0,8.6,3.5,3.6
PVPM025004,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOPL015002,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOSL010001,32.5,67.60000000000001,"[11.5, 7.0, 12.1, 1.9]","[3.2, 16.6, 24.2, 23.6]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.5,6.0,2.8,3.5,3.6
NOSL015004,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOTD002012,28.0,72.0,"[10.0, 9.0, 7.0, 2.0]","[6.0, 10.0, 21.0, 35.0]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.5,6.0,4.2,3.5,3.6
NOTD09000R,24.3,75.6,"[7.2, 5.4, 8.1, 3.6]","[9.0, 27.9, 18.0, 20.7]",Docenti per fasce di età (%) (A.S. 2025/26),5.4,5.5,6.0,2.7,3.5,3.6
NOTD035008,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
NOTF040002,45.2,54.8,"[13.9, 16.0, 10.4, 4.9]","[6.2, 12.5, 16.7, 19.4]",Docenti per fasce di età (%) (A.S. 2025/26),9.5,5.5,6.0,8.8,3.5,3.6
